date_visit,n_people,amount_fee
2025-10-01,1028,780150
2025-10-02,762,597900
2025-10-03,1201,932850
2025-10-04,2528,1946850
2025-10-05,2072,1572400
2025-10-06,1015,839100
2025-10-07,787,573600
2025-10-08,0,0
2025-10-09,649,523600
2025-10-10,1112,857100
2025-10-11,2963,2183800
2025-10-12,4487,3268850
2025-10-13,1816,1393900
2025-10-14,988,769400
2025-10-15,564,434800
2025-10-16,488,353800
2025-10-17,838,631500
2025-10-18,1485,1171550
2025-10-19,1268,991750
2025-10-20,830,668200
2025-10-21,607,424100
2025-10-22,0,0
2025-10-23,529,381850
2025-10-24,846,679050
2025-10-25,1395,1174100
2025-10-26,1094,930600
2025-10-27,587,471050
2025-10-28,286,208850
2025-10-29,350,269500
2025-10-30,316,246500
2025-10-31,710,543700
2025-11-01,1543,1219650
2025-11-02,2293,1715650
2025-11-03,1012,874400
2025-11-04,133,122900
2025-11-05,44,41900
2025-11-06,60,53700
2025-11-07,111,87200
2025-11-08,292,283900
2025-11-09,293,294000
2025-11-10,172,139000
2025-11-11,88,89100
2025-11-12,0,0
2025-11-13,103,68200
2025-11-14,193,182900
2025-11-15,280,291800
2025-11-16,192,209600
2025-11-17,89,88000
2025-11-18,69,70400
2025-11-19,57,55500
2025-11-20,43,45800
2025-11-21,109,120700
2025-11-22,365,362800
2025-11-23,535,477600
2025-11-24,250,273700
2025-11-25,67,72900
2025-11-26,0,0
2025-11-27,49,44800
2025-11-28,18,14900
2025-11-29,44,52300
2025-11-30,0,0
