date_visit,n_people,amount_fee
2023-11-15,0,0
2023-11-16,119,99200
2023-11-17,792,636200
2023-11-18,1761,1353900
2023-11-19,1316,1032400
2023-11-20,746,572200
2023-11-21,417,383400
2023-11-22,0,0
2023-11-23,1252,975400
2023-11-24,2240,1583500
2023-11-25,1284,1000800
2023-11-26,772,630800
2023-11-27,357,326800
2023-11-28,168,143900
2023-11-29,79,74800
2023-11-30,88,72300
2023-12-01,126,106200
2023-12-02,390,377800
2023-12-03,371,345000
2023-12-04,134,114700
2023-12-05,48,29500
2023-12-06,21,17500
2023-12-07,27,17000
2023-12-08,103,89200
2023-12-09,326,344400
2023-12-10,236,250300
2023-12-11,60,72700
2023-12-12,34,36700
2023-12-13,0,0
2023-12-14,22,31300
2023-12-15,76,77900
2023-12-16,211,222300
2023-12-17,189,219200
2023-12-18,27,17000
2023-12-19,13,11400
2023-12-20,13,19600
2023-12-21,7,8800
2023-12-22,28,35900
2023-12-23,116,122500
2023-12-24,94,87200
2023-12-25,122,132700
2023-12-26,71,76900
2023-12-27,0,0
2023-12-28,209,230100
2023-12-29,282,311100
2023-12-30,463,426700
2023-12-31,0,0
2024-01-01,0,0
2024-01-02,256,237700
2024-01-03,126,144100
2024-01-04,77,76600
2024-01-05,61,51000
2024-01-06,75,89100
2024-01-07,41,33100
2024-01-08,11,10600
2024-01-09,14,11900
2024-01-10,0,0
2024-01-11,0,0
2024-01-12,4,2500
2024-01-13,12,16400
